id,neighbourhood_cleansed,room_type,accommodates,bathrooms,bedrooms,beds,price,number_of_reviews,review_scores_rating,room_type_number
1194450204207281644,Barra da Tijuca,Entire home/apt,3,1,1,1,923.0,1,5.0,0
1194489246484172370,Humaitá,Private room,1,1,1,1,264.0,13,4.85,2
1194567246934059753,Vidigal,Entire home/apt,3,1,0,1,300.0,0,4.812309491059147,0
1194702831407948432,Santa Teresa,Private room,2,1,1,1,1055.0,0,4.812309491059147,2
1194731212178723018,Santa Teresa,Private room,2,1,1,1,1099.0,0,4.812309491059147,2
1194744533623601850,Santa Teresa,Private room,2,1,1,1,1099.0,0,4.812309491059147,2
1197862047886153195,Jacarepaguá,Entire home/apt,3,1,1,1,550.0,0,4.812309491059147,0
1197867595870087263,Copacabana,Entire home/apt,4,1,1,1,1000.0,0,4.812309491059147,0
1197887538443056734,Copacabana,Entire home/apt,4,1,2,2,914.0,1,5.0,0
1194787647866087851,Barra da Tijuca,Entire home/apt,2,1,1,1,800.0,6,4.5,0
1194889245140945910,Curicica,Private room,2,1,1,1,250.0,0,4.812309491059147,2
1194890970662612068,Centro,Entire home/apt,3,1,1,1,638.0,16,4.94,0
1194898479667505363,Copacabana,Entire home/apt,4,1,1,2,247.0,6,5.0,0
1194903764600959130,Glória,Private room,2,1,1,1,407.0,1,5.0,2
1197918874164176647,Camorim,Private room,2,1,1,1,330.0,0,4.812309491059147,2
1197978699884927695,Joá,Entire home/apt,12,6,5,5,931.0,19,4.32,0
1197985875110371951,Ipanema,Entire home/apt,4,2,3,1,771.0,0,4.812309491059147,0
1198005098258188134,Copacabana,Entire home/apt,4,1,1,1,718.0,18,4.89,0
1198054500961776641,Centro,Entire home/apt,3,1,1,1,483.0,38,4.95,0
1198087289864932850,Camorim,Entire home/apt,2,1,1,2,458.0,16,4.75,0
1194990326926192660,Itanhangá,Private room,2,2,1,1,279.0,0,4.812309491059147,2
1200846557129295791,Leblon,Entire home/apt,4,1,2,3,950.0,0,4.812309491059147,0
1200851754820099486,Copacabana,Entire home/apt,6,1,2,4,1071.0,4,5.0,0
1200859168550209359,Copacabana,Entire home/apt,2,1,1,1,600.0,3,5.0,0
1200859970974262300,Ipanema,Private room,2,1,1,2,845.0,3,5.0,2
1200908834173389388,Ipanema,Entire home/apt,2,2,1,1,1177.0,2,5.0,0
1200928249365290208,Recreio dos Bandeirantes,Entire home/apt,4,1,1,2,144.0,0,4.812309491059147,0
1198192470830353882,Copacabana,Entire home/apt,6,1,1,5,980.0,10,4.4,0
1198413673500269812,Copacabana,Entire home/apt,4,1,1,2,900.0,0,4.812309491059147,0
1198420123093317976,Recreio dos Bandeirantes,Entire home/apt,5,0,0,2,743.0,9,4.89,0
1198439306011997993,Centro,Entire home/apt,3,1,2,3,271.0,3,4.67,0
1198455878573311993,Copacabana,Entire home/apt,4,1,1,2,1200.0,0,4.812309491059147,0
1198518168820078991,Copacabana,Entire home/apt,2,1,1,1,706.0,21,4.86,0
1198549664072022581,Copacabana,Entire home/apt,4,1,1,2,748.0,9,4.89,0
1200992922748614761,Centro,Entire home/apt,4,1,1,2,520.0,4,5.0,0
1198592070367923690,Leme,Entire home/apt,4,1,1,2,611.0,8,4.75,0
1198624448130169685,Copacabana,Entire home/apt,4,1,1,3,1308.0,5,4.6,0
1198628990032172103,Copacabana,Private room,2,1,1,1,151.0,26,5.0,2
1198692657902889571,Copacabana,Entire home/apt,3,1,2,2,980.0,5,4.8,0
1198699510469796970,Jacarepaguá,Entire home/apt,4,1,1,4,563.0,1,4.0,0
1198701379023531988,Camorim,Entire home/apt,2,1,1,2,433.0,16,4.88,0
1201344400568229677,Jacarepaguá,Entire home/apt,4,2,2,2,580.0,2,5.0,0
1201356314061930112,Copacabana,Entire home/apt,6,2,3,1,400.0,6,5.0,0
1201395015494948746,Copacabana,Entire home/apt,2,1,1,1,786.0,24,5.0,0
1198707348721722001,Tijuca,Entire home/apt,6,1,2,2,1177.0,1,5.0,0
1198708968656983465,Centro,Entire home/apt,2,1,1,1,250.0,17,4.65,0
1198713634502168118,Copacabana,Entire home/apt,4,1,1,1,215.0,0,4.812309491059147,0
1198713969409077582,Recreio dos Bandeirantes,Private room,2,1,1,1,300.0,1,5.0,2
1198721979549462674,Santa Teresa,Private room,2,1,4,2,250.0,0,4.812309491059147,2
1198724782913585268,Camorim,Entire home/apt,2,1,1,1,618.0,13,5.0,0
1198758940360856382,Barra de Guaratiba,Entire home/apt,5,1,1,1,1030.0,0,4.812309491059147,0
1198770875418489250,Ipanema,Entire home/apt,2,1,1,1,699.0,7,5.0,0
1201413707225418031,Jacarepaguá,Private room,6,3,2,5,96.0,0,4.812309491059147,2
1201448062953130654,Recreio dos Bandeirantes,Entire home/apt,8,3,4,5,950.0,0,4.812309491059147,0
1201448635126380700,Camorim,Entire home/apt,2,1,1,1,499.0,35,4.83,0
